tagID,datetime,event
2364,2019-08-07 14:40:57.800,entering
2515,2019-08-07 14:43:13.500,exiting
2347,2019-08-07 14:44:28.700,exiting
793,2019-08-07 14:44:40.350,entering
1741,2019-08-07 14:44:50.250,exiting
1508,2019-08-07 14:46:02.100,exiting
2364,2019-08-07 14:46:26.200,exiting
2347,2019-08-07 14:46:30.000,entering
2884,2019-08-07 14:49:43.650,entering
2364,2019-08-07 14:51:41.850,entering
2364,2019-08-07 14:51:57.250,exiting
381,2019-08-07 14:51:56.250,exiting
2884,2019-08-07 14:52:50.500,exiting
2364,2019-08-07 14:52:53.800,exiting
1907,2019-08-07 14:53:02.900,entering-exiting
2884,2019-08-07 14:53:57.450,entering
1318,2019-08-07 14:53:49.100,exiting
2364,2019-08-07 14:54:15.850,entering-exiting
2230,2019-08-07 14:55:23.500,exiting-entering
793,2019-08-07 14:55:20.250,exiting
2364,2019-08-07 14:55:41.600,entering
629,2019-08-07 14:56:35.250,exiting-entering
2364,2019-08-07 14:58:44.400,exiting
1907,2019-08-07 14:58:48.350,entering
266,2019-08-07 14:59:02.000,entering
83,2019-08-07 14:59:22.950,exiting
1373,2019-08-07 14:59:29.850,entering
2439,2019-08-07 14:59:53.800,exiting
2364,2019-08-07 15:00:54.600,entering-exiting
2364,2019-08-07 15:01:27.750,entering-exiting
2364,2019-08-07 15:01:52.150,entering
2364,2019-08-07 15:02:09.150,exiting
2364,2019-08-07 15:02:27.000,entering-exiting
2709,2019-08-07 15:02:29.600,exiting
954,2019-08-07 15:02:41.450,entering
2364,2019-08-07 15:03:07.950,exiting-entering
2543,2019-08-07 15:03:17.100,exiting
2364,2019-08-07 15:03:58.600,exiting
2884,2019-08-07 15:04:37.100,exiting
2364,2019-08-07 15:04:25.850,entering-exiting
399,2019-08-07 15:04:25.150,entering
879,2019-08-07 15:05:06.550,exiting
1373,2019-08-07 15:05:13.450,exiting
2428,2019-08-07 15:06:31.950,entering
2364,2019-08-07 15:07:13.550,entering-exiting
2858,2019-08-07 15:07:27.250,entering
2364,2019-08-07 15:07:55.250,entering
2364,2019-08-07 15:08:12.400,exiting
2364,2019-08-07 15:08:37.600,entering-exiting
954,2019-08-07 15:08:49.800,entering
1713,2019-08-07 15:09:59.350,exiting
2364,2019-08-07 15:09:30.400,exiting-entering
793,2019-08-07 15:09:37.350,entering
2364,2019-08-07 15:10:46.450,exiting
2364,2019-08-07 15:11:42.000,entering
2364,2019-08-07 15:12:15.300,exiting
472,2019-08-07 15:12:21.250,entering
2364,2019-08-07 15:13:26.300,entering
2364,2019-08-07 15:13:37.800,exiting
2364,2019-08-07 15:16:33.500,entering
607,2019-08-07 15:19:03.350,entering
397,2019-08-07 15:20:35.400,entering
2358,2019-08-07 15:21:08.450,entering
2776,2019-08-07 15:24:43.800,exiting
1922,2019-08-07 15:24:05.800,entering
186,2019-08-07 15:23:54.000,exiting
2364,2019-08-07 15:24:46.500,entering
607,2019-08-07 15:24:59.400,exiting
2364,2019-08-07 15:26:59.000,entering
2515,2019-08-07 15:26:52.550,entering
2364,2019-08-07 15:27:15.500,exiting
2364,2019-08-07 15:27:49.600,entering
83,2019-08-07 15:31:46.950,entering
2364,2019-08-07 15:32:00.500,exiting-entering
2778,2019-08-07 15:34:55.250,exiting
2321,2019-08-07 15:36:26.000,exiting-entering
2515,2019-08-07 15:36:36.350,exiting
269,2019-08-07 15:37:07.600,exiting
793,2019-08-07 15:37:45.000,entering
2356,2019-08-07 15:38:49.800,exiting
2364,2019-08-07 15:38:56.100,exiting
2364,2019-08-07 15:40:05.300,entering-exiting
2428,2019-08-07 15:40:28.500,exiting
2364,2019-08-07 15:40:47.900,entering-exiting
2364,2019-08-07 15:44:03.600,entering-exiting
2364,2019-08-07 15:44:36.000,entering
583,2019-08-07 15:44:17.000,exiting
879,2019-08-07 15:44:44.800,exiting
2662,2019-08-07 15:45:01.000,entering
397,2019-08-07 15:45:16.350,exiting
2364,2019-08-07 15:45:39.900,exiting-entering
2364,2019-08-07 15:47:17.850,exiting
2543,2019-08-07 15:47:21.750,exiting
102,2019-08-07 15:47:49.050,exiting-entering
2624,2019-08-07 15:47:44.000,entering
102,2019-08-07 15:48:04.700,exiting-entering
102,2019-08-07 15:48:56.050,exiting-entering
102,2019-08-07 15:50:18.550,exiting-entering
2364,2019-08-07 15:50:17.350,entering-exiting
2858,2019-08-07 15:50:23.650,exiting
608,2019-08-07 15:51:31.600,exiting
2962,2019-08-07 15:51:53.850,exiting-entering
1567,2019-08-07 15:52:32.250,entering-exiting
779,2019-08-07 15:52:47.800,exiting
266,2019-08-07 15:53:08.700,entering
2358,2019-08-07 15:53:55.450,exiting
2364,2019-08-07 15:54:30.600,entering-exiting
2364,2019-08-07 15:55:25.350,entering
2364,2019-08-07 15:56:13.600,exiting
2946,2019-08-07 15:55:50.600,entering-exiting
911,2019-08-07 15:57:48.900,exiting
821,2019-08-07 15:58:01.450,exiting-entering
2364,2019-08-07 15:58:09.900,entering-exiting
2364,2019-08-07 15:58:45.300,entering
2364,2019-08-07 15:59:49.850,exiting-entering
923,2019-08-07 16:00:22.350,exiting-entering
793,2019-08-07 16:04:18.000,exiting
2364,2019-08-07 16:04:38.600,exiting
2364,2019-08-07 16:05:06.800,entering-exiting
2364,2019-08-07 16:06:13.250,entering
2364,2019-08-07 16:06:38.800,exiting-entering
673,2019-08-07 16:08:17.350,exiting
556,2019-08-07 16:08:49.950,entering
1697,2019-08-07 16:09:06.350,exiting
1308,2019-08-07 16:10:25.250,entering-exiting
102,2019-08-07 16:13:42.450,exiting-entering
102,2019-08-07 16:14:11.350,exiting-entering
102,2019-08-07 16:14:50.050,exiting
102,2019-08-07 16:15:25.000,entering
2428,2019-08-07 16:16:17.000,entering
2289,2019-08-07 16:20:46.150,entering
2624,2019-08-07 16:21:17.800,exiting
449,2019-08-07 16:22:17.400,exiting
1373,2019-08-07 16:23:31.950,entering
2778,2019-08-07 16:25:24.350,exiting-entering
269,2019-08-07 16:29:07.850,exiting
2364,2019-08-07 16:31:14.350,exiting
2364,2019-08-07 16:32:31.950,entering
2289,2019-08-07 16:32:48.000,entering
2364,2019-08-07 16:33:45.750,exiting
2358,2019-08-07 16:34:19.700,entering
2850,2019-08-07 16:35:19.500,entering
2364,2019-08-07 16:36:04.050,exiting
2364,2019-08-07 16:36:47.400,entering
2364,2019-08-07 16:36:59.400,exiting
1697,2019-08-07 16:37:31.950,entering
